Station_Name,Transit_Connections,Connecting_BusRoutes
"Shady Grove","WMATA Metrobus; Local Transit","WMATA Metrobus Ride On"
"Shady Grove","WMATA Metrobus; Local Transit","WMATA Metrobus Routes TheBus 32"
"Shady Grove","Commuter Bus; WMATA Metrobus; Local Transit","201 202 505 515 WMATA Metrobus Ride On"
"Shady Grove","BaltimoreLink Core Bus","081  085"
"Shady Grove","BaltimoreLink Core Bus","022 085 CityLink Gold  CityLink Lime"
"Shady Grove","WMATA Bus",B27
"Shady Grove","BaltimoreLink Core Bus",93
"Shady Grove","Local Transit; Amtrak","Eastern Panhandle Transit Authority (PanTran)"
"Shady Grove","BaltimoreLink Core Bus","029, 069, 070, 071, 073, 075, CityLink Yellow"
"Shady Grove","BaltimoreLink Core Bus",34
"Shady Grove","BaltimoreLink Core Bus","026, 071"
"Shady Grove","BaltimoreLink Core Bus","CityLink Yellow"
"Shady Grove","BaltimoreLink Core Bus; Charm City Circulator","150 160 CityLink Blue CityLink Orange CityLink Purple"
"Shady Grove","BaltimoreLink Core Bus",93
"Shady Grove","WMATA Metrobus; Amtrak","WMATA Metrobus New Carrollton Routes"
"Shady Grove","Local Transit","Ride on 61 Ride On 83 Ride On 97"
"Shady Grove","BaltimoreLink Core Bus; Commuter Bus","054 056 065 071 076 078 094 105 120 150 154 160 210 215 310  410  411  420 CityLink Brown  CityLink Navy CityLink Orange CityLink Purple CirtLink Red CityLink Yellow"
"Shady Grove","Local Transit","Ride On 4"
"Shady Grove","Local Transit","RTA 504"
"Shady Grove","BaltimoreLink Core Bus; Charm City Circulator; Amtrak","051  095 103 CityLink Green CityLink Silver"
"Shady Grove","Commuter Bus; Local Transit","204 505 515 TransIT 10 TransIT 20"
"Shady Grove","BaltimoreLink Core Bus","082 CityLink Lime"
"Shady Grove","Commuter Bus; WMATA Metrobus; Local Transit","305 315 325 WMATA Metrobus Silver Spring Routes Ride On"
